Lookback,Horizon,Reference,Compared_Model,DM_stat,p_value,Significant_5pct,Significant_1pct
22,10,FULL,w/o_Nickel_Zinc,7.779876124140377,8.215650382226158e-15,True,True
22,10,FULL,w/o_Tin,-7.41237070154893,1.389999226830696e-13,True,True
22,10,FULL,w/o_Tin_Zinc,-3.0449875906797526,0.0023357933055585534,True,True
22,10,FULL,w/o_Zinc,6.527184367034417,7.183764694218553e-11,True,True
22,22,FULL,w/o_Copper,-2.3597450629630554,0.018300286460913417,True,False
22,22,FULL,w/o_Copper_Lead,6.893479826993651,5.6625815147981484e-12,True,True
22,22,FULL,w/o_Copper_Lead_Nickel,5.55885915488474,2.7619377673815393e-08,True,True
22,22,FULL,w/o_Copper_Lead_Nickel_Tin,2.2104443981271813,0.02708943470605485,True,False
22,22,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-2.849394624038974,0.00438624143116928,True,True
22,22,FULL,w/o_Copper_Lead_Nickel_Zinc,-5.4084113505635,6.456445533764565e-08,True,True
22,22,FULL,w/o_Copper_Lead_Tin,-10.27259339095376,0.0,True,True
22,22,FULL,w/o_Copper_Lead_Tin_Zinc,-14.485868968209765,0.0,True,True
22,22,FULL,w/o_Copper_Lead_Zinc,4.971902656006552,6.703434496380112e-07,True,True
22,22,FULL,w/o_Copper_Nickel,1.573282530516974,0.11567459200182872,False,False
22,22,FULL,w/o_Copper_Nickel_Tin,5.382147905941963,7.471324114938227e-08,True,True
22,22,FULL,w/o_Copper_Nickel_Tin_Zinc,-6.771855311315607,1.3188783398732085e-11,True,True
22,22,FULL,w/o_Copper_Nickel_Zinc,5.534618753958703,3.171567963811128e-08,True,True
22,22,FULL,w/o_Copper_Tin,-8.905253169187871,0.0,True,True
22,22,FULL,w/o_Copper_Tin_Zinc,-16.77999663867755,0.0,True,True
22,22,FULL,w/o_Copper_Zinc,-3.403988336776109,0.0006658407860333782,True,True
22,22,FULL,w/o_Lead,-2.2431031887839312,0.02490476096060723,True,False
22,22,FULL,w/o_Lead_Nickel,8.525210934477146,0.0,True,True
