Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Lead_Tin,10,22,75.50041961669922,99.9602118110626,3.1154682859778404,3.1045978888869286,0.08673337328201254,0.491021961150791,65.5659582465887,392.6066360473633,0.001468745622340803,4614,0.01760101318359375,15968.0
w/o_Lead_Zinc,10,22,76.98868560791016,102.64217464388116,3.2059036195278168,3.171231970191002,0.08906045446168309,0.48574861491222215,67.3352568410337,251.00235271453857,0.0014638092024210792,4614,0.01760101318359375,15968.0
w/o_Tin_Zinc,10,22,101.67240142822266,127.9693528679328,4.0399108082056046,4.13651242852211,0.11103631472639294,0.4784059809091516,84.9963060580194,266.0452585220337,0.001975029050516137,4614,0.01760101318359375,15968.0
w/o_Lead_Nickel,10,22,74.67227172851562,100.61110152463296,3.037932887673378,3.060426749289036,0.08729813383354793,0.4827448100927842,63.971972884610295,488.0264642238617,0.0015032350929473114,4614,0.01760101318359375,15968.0
w/o_Nickel_Tin,10,22,81.6053237915039,107.36413107097268,3.2927583903074265,3.335580602288246,0.09315759489179426,0.4794740004005073,69.34025199152529,289.930703163147,0.0015474675160322595,4614,0.01760101318359375,15968.0
w/o_Nickel_Zinc,10,22,75.03527069091797,100.56819534058718,3.0805330723524094,3.0786484479904175,0.08726090371220845,0.48755089780388494,64.76319171488285,228.912611246109,0.0021062299893641087,4614,0.01760101318359375,15968.0
w/o_Copper_Lead,10,22,74.54006958007812,99.65652438030588,3.0739663168787956,3.0636614188551903,0.08646986955158616,0.4859488685668513,64.53531943261623,328.7248206138611,0.0014016505730134626,4614,0.01760101318359375,15968.0
w/o_Copper_Tin,10,22,93.67269897460938,119.58893624359655,3.749273717403412,3.8249563425779343,0.10376480334234332,0.48034176623723385,78.95642844960093,286.2916874885559,0.0013306939129262244,4614,0.01760101318359375,15968.0
w/o_Copper_Zinc,10,22,80.66556549072266,106.48593290313045,3.2794587314128876,3.3008482307195663,0.092395602079379,0.49088845871437153,69.0545060671866,213.59908151626587,0.0018882156293647755,4614,0.01760101318359375,15968.0
w/o_Copper_Nickel,10,22,74.78430938720703,100.19838719697537,3.0639169737696648,3.0674178153276443,0.08694003223079914,0.4823443027835258,64.42106459289789,253.8745186328888,0.0015235118753934571,4614,0.01760101318359375,15968.0
